2026-09-05 00:33:05,137 | INFO | attendance | Shutdown complete. Closed 4 sessions.
2026-09-05 00:33:14,213 | INFO | attendance | FaceDetector initialized with ONNX Runtime (UltraFace) (model: ultraface-RFB-320.onnx, input: 320x240)
2026-09-05 00:33:14,214 | WARNING | attendance | FaceEngine: cv2.face not available, falling back to simple distance mode
2026-09-05 00:33:14,214 | INFO | attendance | AttendanceService initialized
2026-09-05 00:33:14,214 | INFO | attendance | CameraService: processor service attached
2026-09-05 00:33:14,222 | INFO | attendance | Application started successfully.
2026-09-05 00:33:14,223 | INFO | attendance | Face engine mode: simple
2026-09-05 00:33:14,223 | INFO | attendance | Face detector: ultraface
2026-09-05 00:33:14,301 | INFO | attendance | Startup: starting active cameras...
2026-09-05 00:33:14,304 | INFO | attendance | Camera loop started for '1' (area_id=1)
2026-09-05 00:33:14,355 | INFO | attendance | CameraService: started 1 cameras
2026-09-05 00:33:14,356 | INFO | attendance | Startup: building face gallery...
2026-09-05 00:33:14,356 | INFO | attendance | EmployeeService: rebuilding face gallery...
2026-09-05 00:33:14,361 | INFO | attendance | FaceGallery: loaded 1 employees with faces
2026-09-05 00:33:14,362 | INFO | attendance | EmployeeService: gallery rebuild complete
2026-09-05 00:33:14,363 | INFO | attendance | Startup: ready!
2026-09-05 00:33:14,389 | INFO | attendance | Camera '1' (id=1): connecting to 0
2026-09-05 00:33:15,074 | INFO | attendance | Camera '1': connected successfully
2026-09-05 00:33:15,855 | INFO | attendance | New session created: id=33, type=unknown, emp_id=-, camera=1
2026-09-05 00:33:28,184 | INFO | attendance | New session created: id=34, type=employee, emp_id=1, camera=1
2026-09-05 00:33:55,227 | INFO | attendance | New session created: id=35, type=unknown, emp_id=-, camera=1
2026-09-05 00:33:55,877 | INFO | attendance | New session created: id=36, type=unknown, emp_id=-, camera=1
2026-09-05 00:33:57,417 | INFO | attendance | New session created: id=37, type=unknown, emp_id=-, camera=1
2026-09-05 00:33:57,901 | INFO | attendance | New session created: id=38, type=unknown, emp_id=-, camera=1
2026-09-05 00:34:21,179 | INFO | attendance | New session created: id=39, type=unknown, emp_id=-, camera=1
2026-09-05 00:34:30,710 | INFO | attendance | New session created: id=40, type=unknown, emp_id=-, camera=1
2026-09-05 00:34:30,988 | INFO | attendance | New session created: id=41, type=unknown, emp_id=-, camera=1
2026-09-05 00:36:02,679 | INFO | attendance | New session created: id=42, type=unknown, emp_id=-, camera=1
2026-09-05 00:36:04,817 | INFO | attendance | New session created: id=43, type=unknown, emp_id=-, camera=1
2026-09-05 00:36:06,009 | INFO | attendance | New session created: id=44, type=unknown, emp_id=-, camera=1
2026-09-05 00:36:06,080 | INFO | attendance | New session created: id=45, type=unknown, emp_id=-, camera=1
2026-09-05 00:36:07,294 | INFO | attendance | New session created: id=46, type=unknown, emp_id=-, camera=1
2026-09-05 00:37:10,206 | INFO | attendance | New session created: id=47, type=unknown, emp_id=-, camera=1
2026-09-05 00:37:21,260 | INFO | attendance | Session closed: id=39, type=unknown, duration=180s
